Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
169,tt2363213,2016-10-04,2016-10-04,,Gåten Ragnarok,https://www.imdb.com/title/tt2363213/,movie,5.9,100,2013,"Action, Adventure",6641,2013-08-30,Mikkel Brænne Sandemose
170,tt2053425,2016-10-30,2016-10-30,,De rouille et d'os,https://www.imdb.com/title/tt2053425/,movie,7.5,120,2012,"Drama, Romance",56485,2012-05-17,Jacques Audiard
171,tt0332381,2016-10-30,2016-10-30,,Hafið,https://www.imdb.com/title/tt0332381/,movie,6.9,109,2002,"Comedy, Drama",1514,2002-09-06,Baltasar Kormákur
172,tt0077766,2016-10-30,2016-10-30,,Jaws 2,https://www.imdb.com/title/tt0077766/,movie,5.7,116,1978,"Adventure, Drama, Horror, Thriller",59873,1978-06-16,Jeannot Szwarc
173,tt2555268,2016-12-04,2016-12-04,,Maidentrip,https://www.imdb.com/title/tt2555268/,movie,7.6,82,2013,"Documentary, Adventure, Biography",3339,2013-03-10,Jillian Schlesinger
174,tt1825928,2016-12-04,2016-12-04,,Racing Around the World Alone,https://www.imdb.com/title/tt1825928/,movie,6.7,52,2010,Documentary,13,2010-11-01,"Ingrid Johansson, Benjamin Rouse"
175,tt0282712,2016-12-04,2016-12-04,,Maiden Voyage,https://www.imdb.com/title/tt0282712/,tvMovie,8.2,,1989,Documentary,62,,Lee Stanley
176,tt1788634,2016-12-04,2016-12-04,,El barco,https://www.imdb.com/title/tt1788634/,tvSeries,7.5,75,2011,"Adventure, Drama, Mystery, Sci-Fi",3382,2011-01-17,
177,tt0074035,2016-12-04,2016-12-04,,The Onedin Line,https://www.imdb.com/title/tt0074035/,tvSeries,7.7,50,1971,"Adventure, Drama, Romance",690,1971-10-15,
178,tt1295071,2016-12-04,2016-12-04,,Tales of the Black Freighter,https://www.imdb.com/title/tt1295071/,video,7.1,26,2009,"Animation, Short, Action, Adventure, Horror",5192,2009-03-24,"Mike Smith, Daniel DelPurgatorio"
179,tt0428134,2016-12-04,2016-12-04,,Mary Bryant,https://www.imdb.com/title/tt0428134/,tvMiniSeries,7.5,480,2005,"Adventure, Drama",2122,2005-10-30,
180,tt1935084,2017-04-22,2017-04-22,,Between Home,https://www.imdb.com/title/tt1935084/,movie,7.3,93,2012,"Documentary, Adventure, Biography",23,2012-06-30,Jack Rath
181,tt0141926,2017-05-02,2017-05-02,,U-571,https://www.imdb.com/title/tt0141926/,movie,6.6,116,2000,"Action, War",70509,2000-04-17,Jonathan Mostow
182,tt1253863,2017-05-02,2017-05-02,,300: Rise of an Empire,https://www.imdb.com/title/tt1253863/,movie,6.2,102,2014,"Action, Fantasy, War",252411,2014-03-04,Noam Murro
183,tt0112740,2017-05-21,2017-05-21,,Crimson Tide,https://www.imdb.com/title/tt0112740/,movie,7.3,116,1995,"Action, Drama, Thriller, War",89844,1995-05-12,Tony Scott
184,tt1227183,2017-05-22,2017-05-22,,Swallows and Amazons,https://www.imdb.com/title/tt1227183/,movie,6.2,96,2016,"Adventure, Drama, Family, War",1981,2016-08-19,Philippa Lowthorpe
185,tt4519006,2017-05-28,2017-05-28,,Abandoned,https://www.imdb.com/title/tt4519006/,movie,6.3,86,2015,"Adventure, Drama, Thriller",1417,2015-08-30,John Laing
186,tt1659619,2017-11-04,2017-11-04,"I had a great expectations from this movie. But actually, it is very far from what he is.",L'odyssée,https://www.imdb.com/title/tt1659619/,movie,6.7,122,2016,"Adventure, Biography",3501,2016-01-31,Jérôme Salle
187,tt4126568,2017-11-10,2017-11-10,,Open Water 3: Cage Dive,https://www.imdb.com/title/tt4126568/,movie,4.1,80,2017,"Drama, Horror, Thriller",2485,2017-02-25,Gerald Rascionato
188,tt1790809,2017-11-10,2017-11-10,,Pirates of the Caribbean: Dead Men Tell No Tales,https://www.imdb.com/title/tt1790809/,movie,6.6,129,2017,"Action, Adventure, Fantasy",201433,2017-05-11,"Espen Sandberg, Joachim Rønning"
